epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,
0,,,19,,,1.0192433595657349,,,,,,,,,,,,
0,,,39,,,0.979590892791748,,,,,,,,,,,,
0,,,59,,,1.034581184387207,,,,,,,,,,,,
0,,,79,,,0.9621861577033997,,,,,,,,,,,,
0,,,99,,,0.9937887787818909,,,,,,,,,,,,
0,,,114,,,,0.4380694031715393,0.7015866041183472,0.3507659137248993,0.9266732931137085,0.6044906377792358,0.28778350353240967,0.36735498905181885,0.8583992719650269,0.679114043712616,0.7287663817405701,0.15168289840221405,0.4380694031715393
0,,,114,0.33152174949645996,0.995219349861145,,,,,,,,,,,,,
,7.5e-05,7.5e-05,115,,,,,,,,,,,,,,,
1,,,119,,,0.962762713432312,,,,,,,,,,,,
1,,,139,,,0.8409125804901123,,,,,,,,,,,,
1,,,159,,,0.8465065956115723,,,,,,,,,,,,
1,,,179,,,0.8157758712768555,,,,,,,,,,,,
1,,,199,,,0.9738224744796753,,,,,,,,,,,,
1,,,219,,,0.8157346844673157,,,,,,,,,,,,
1,,,229,,,,0.5645902156829834,0.7994062900543213,0.5465898513793945,0.712324857711792,0.5708494186401367,0.4366421401500702,0.5855729579925537,0.5239653587341309,0.7559173107147217,0.6107485294342041,0.3927665948867798,0.5645902156829834
1,,,229,0.4414289891719818,0.867459237575531,,,,,,,,,,,,,
,0.0001125,0.0001125,230,,,,,,,,,,,,,,,
2,,,239,,,0.8336843252182007,,,,,,,,,,,,
2,,,259,,,0.7900774478912354,,,,,,,,,,,,
2,,,279,,,0.7342532873153687,,,,,,,,,,,,
2,,,299,,,0.6719484329223633,,,,,,,,,,,,
2,,,319,,,0.6976772546768188,,,,,,,,,,,,
2,,,339,,,0.5598517656326294,,,,,,,,,,,,
2,,,344,,,,0.6078860759735107,0.8134804964065552,0.587655782699585,0.6471689343452454,0.5881061553955078,0.4648022949695587,0.6077790260314941,0.4898776113986969,0.7193098068237305,0.6951902508735657,0.44804707169532776,0.6078860759735107
2,,,344,0.5096793174743652,0.768701434135437,,,,,,,,,,,,,
,0.00015,0.00015,345,,,,,,,,,,,,,,,
3,,,359,,,0.709608793258667,,,,,,,,,,,,
3,,,379,,,0.6760594844818115,,,,,,,,,,,,
3,,,399,,,0.7750297784805298,,,,,,,,,,,,
3,,,419,,,0.7669912576675415,,,,,,,,,,,,
3,,,439,,,0.7361550331115723,,,,,,,,,,,,
3,,,459,,,0.7417635917663574,,,,,,,,,,,,
3,,,459,,,,0.5856417417526245,0.8205039501190186,0.5112494230270386,0.7392364144325256,0.6184023022651672,0.4389357566833496,0.5506777763366699,0.8419182896614075,0.6381808519363403,0.7322168946266174,0.2612931728363037,0.5856417417526245
