run_name,margin,gamma,smoothing,gambler_w,best_epoch,val_macro_prec,gated_prec@0.80,cov@0.80,gated_prec@0.85,cov@0.85,gated_prec@0.90,cov@0.90,temperature,best_ckpt
grid_hydra_m0.90_g3.0_s0.00_gw0.1,0.90,3.0,0.00,0.1,017,0.5815,0.713771516320354,0.8028846153846154,0.7124399095860865,0.8546765734265734,0.7080727341133952,0.9034090909090909,3.726,lightning_logs/grid_hydra/grid_hydra_m0.90_g3.0_s0.00_gw0.1/version_0/checkpoints/hydra-017-p0.5815.ckpt
grid_hydra_m0.70_g3.0_s0.00_gw0.1,0.70,3.0,0.00,0.1,009,0.5842,0.741772814802936,0.8071459790209791,0.705504711903703,0.8501966783216783,0.715467923119292,0.9008959790209791,4.079,lightning_logs/grid_hydra/grid_hydra_m0.70_g3.0_s0.00_gw0.1/version_0/checkpoints/hydra-009-p0.5842.ckpt
grid_hydra_m0.70_g2.0_s0.05_gw0.1,0.70,2.0,0.05,0.1,027,0.6551,0.7050575333962563,0.8065996503496503,0.7029442371291286,0.8504152097902098,0.6970378102092254,0.9005681818181818,3.017,lightning_logs/grid_hydra/grid_hydra_m0.70_g2.0_s0.05_gw0.1/version_0/checkpoints/hydra-027-p0.6551.ckpt
grid_hydra_m0.70_g2.0_s0.00_gw0.0,0.70,2.0,0.00,0.0,036,0.6498,0.7010517497520713,0.8096590909090909,0.7029274929853297,0.8539117132867133,0.6900852081113347,0.901333041958042,3.983,lightning_logs/grid_hydra/grid_hydra_m0.70_g2.0_s0.00_gw0.0/version_0/checkpoints/hydra-036-p0.6498.ckpt
grid_hydra_m0.90_g2.0_s0.00_gw0.1,0.90,2.0,0.00,0.1,027,0.6022,0.6984053262239653,0.8002622377622378,0.6944026731118123,0.8508522727272727,0.6978656133771945,0.902972027972028,4.440,lightning_logs/grid_hydra/grid_hydra_m0.90_g2.0_s0.00_gw0.1/version_0/checkpoints/hydra-027-p0.6022.ckpt
grid_hydra_m0.50_g2.0_s0.05_gw0.1,0.50,2.0,0.05,0.1,026,0.5763,0.6060697985380342,0.8002622377622378,0.6931091948921971,0.8540209790209791,0.6906091271305015,0.9018793706293706,2.501,lightning_logs/grid_hydra/grid_hydra_m0.50_g2.0_s0.05_gw0.1/version_0/checkpoints/hydra-026-p0.5763.ckpt
grid_hydra_m0.50_g2.0_s0.00_gw0.0,0.50,2.0,0.00,0.0,051,0.5781,0.6877555314388029,0.8012456293706294,0.6888681111637953,0.8578452797202797,0.5827186089144256,0.9000218531468531,4.451,lightning_logs/grid_hydra/grid_hydra_m0.50_g2.0_s0.00_gw0.0/version_0/checkpoints/hydra-051-p0.5781.ckpt
grid_hydra_m0.30_g2.0_s0.00_gw0.1,0.30,2.0,0.00,0.1,041,0.6151,0.7389934412475994,0.803868006993007,0.6840819038620097,0.8503059440559441,0.6926958688879867,0.9016608391608392,4.630,lightning_logs/grid_hydra/grid_hydra_m0.30_g2.0_s0.00_gw0.1/version_0/checkpoints/hydra-041-p0.6151.ckpt
grid_hydra_m0.50_g3.0_s0.05_gw0.1,0.50,3.0,0.05,0.1,030,0.6114,0.6307059667709645,0.8015734265734266,0.6788331334367312,0.8649475524475524,0.6776009397045375,0.9133522727272727,2.525,lightning_logs/grid_hydra/grid_hydra_m0.50_g3.0_s0.05_gw0.1/version_0/checkpoints/hydra-030-p0.6114.ckpt
grid_hydra_m0.90_g2.0_s0.00_gw0.0,0.90,2.0,0.00,0.0,017,0.5812,0.6113971398084155,0.8003715034965035,0.6594878540845546,0.8592657342657343,0.6535706098186796,0.9063592657342657,3.973,lightning_logs/grid_hydra/grid_hydra_m0.90_g2.0_s0.00_gw0.0/version_0/checkpoints/hydra-017-p0.5812.ckpt
