run_name,margin,gamma,smoothing,gambler_w,best_epoch,val_macro_prec,gated_prec@0.80,cov@0.80,gated_prec@0.85,cov@0.85,gated_prec@0.90,cov@0.90,temperature,best_ckpt
grid_precise_m0.50_g3.0_s0.00_gw0.0,0.50,3.0,0.00,0.0,030,0.6706,0.6935748633132525,0.8000437062937062,0.7642498106182662,0.8678977272727273,0.6920121032801998,0.9003496503496503,3.535,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g3.0_s0.00_gw0.0/version_0/checkpoints/precise-030-p0.6706.ckpt
grid_precise_m0.50_g3.0_s0.00_gw0.1,0.50,3.0,0.00,0.1,051,0.6667,0.7633339071774969,0.8011363636363636,0.7605659743273029,0.852381993006993,0.7563946482741476,0.9117132867132867,4.370,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g3.0_s0.00_gw0.1/version_0/checkpoints/precise-051-p0.6667.ckpt
grid_precise_m0.70_g3.0_s0.00_gw0.0,0.70,3.0,0.00,0.0,030,0.6542,0.7559222517727787,0.8027753496503497,0.7602408954080236,0.8607954545454546,0.681128049895199,0.9001311188811189,3.462,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g3.0_s0.00_gw0.0/version_0/checkpoints/precise-030-p0.6542.ckpt
grid_precise_m0.30_g3.0_s0.00_gw0.1,0.30,3.0,0.00,0.1,030,0.6781,0.7640404613623577,0.8196875,0.75679215321366,0.85125,0.7510447467199385,0.90640625,4.062,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.00_gw0.1/version_0/checkpoints/precise-030-p0.6781.ckpt
grid_precise_m0.30_g3.0_s0.00_gw0.1,0.30,3.0,0.00,0.1,005,0.6988,0.7640404613623577,0.8196875,0.75679215321366,0.85125,0.7510447467199385,0.90640625,4.007,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.00_gw0.1/version_0/checkpoints/precise-005-p0.6988.ckpt
grid_precise_m0.50_g2.0_s0.05_gw0.1,0.50,2.0,0.05,0.1,015,0.6313,0.7150630138823282,0.800152972027972,0.7441840329493032,0.8506337412587412,0.74483892479108,0.9022071678321678,2.271,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g2.0_s0.05_gw0.1/version_0/checkpoints/precise-015-p0.6313.ckpt
grid_precise_m0.30_g2.0_s0.05_gw0.1,0.30,2.0,0.05,0.1,027,0.6505,0.7526619047342736,0.81078125,0.7428193850492343,0.85046875,0.7413683327518871,0.9025,2.996,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.05_gw0.1/version_0/checkpoints/precise-027-p0.6505.ckpt
grid_precise_m0.30_g2.0_s0.05_gw0.1,0.30,2.0,0.05,0.1,016,0.7269,0.7526619047342736,0.81078125,0.7428193850492343,0.85046875,0.7413683327518871,0.9025,3.604,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.05_gw0.1/version_0/checkpoints/precise-016-p0.7269.ckpt
grid_precise_m0.50_g3.0_s0.05_gw0.1,0.50,3.0,0.05,0.1,019,0.6298,0.7428420643147008,0.803868006993007,0.7377654074535918,0.8532561188811189,0.7353986411042648,0.9045017482517482,2.474,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g3.0_s0.05_gw0.1/version_0/checkpoints/precise-019-p0.6298.ckpt
grid_precise_m0.90_g3.0_s0.05_gw0.1,0.90,3.0,0.05,0.1,035,0.6345,0.7435597376141819,0.8013548951048951,0.7347071163628555,0.8509615384615384,0.7100328679837487,0.900458916083916,2.863,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g3.0_s0.05_gw0.1/version_0/checkpoints/precise-035-p0.6345.ckpt
grid_precise_m0.70_g2.0_s0.00_gw0.0,0.70,2.0,0.00,0.0,027,0.6520,0.7381878595163767,0.8011363636363636,0.7342062943317575,0.8520541958041958,0.7384267609365035,0.9017701048951049,3.911,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g2.0_s0.00_gw0.0/version_0/checkpoints/precise-027-p0.6520.ckpt
grid_precise_m0.30_g3.0_s0.05_gw0.0,0.30,3.0,0.05,0.0,016,0.7176,0.7382948736640084,0.819375,0.7290078147126119,0.85109375,0.7306502853680131,0.906875,2.514,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.05_gw0.0/version_0/checkpoints/precise-016-p0.7176.ckpt
grid_precise_m0.30_g3.0_s0.05_gw0.0,0.30,3.0,0.05,0.0,009,0.6122,0.7382948736640084,0.819375,0.7290078147126119,0.85109375,0.7306502853680131,0.906875,1.846,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.05_gw0.0/version_0/checkpoints/precise-009-p0.6122.ckpt
grid_precise_m0.30_g2.0_s0.05_gw0.0,0.30,2.0,0.05,0.0,056,0.6854,0.733858543586411,0.81046875,0.7274815911385103,0.85453125,0.7248170209833465,0.905625,3.153,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.05_gw0.0/version_0/checkpoints/precise-056-p0.6854.ckpt
grid_precise_m0.30_g2.0_s0.05_gw0.0,0.30,2.0,0.05,0.0,036,0.7109,0.733858543586411,0.81046875,0.7274815911385103,0.85453125,0.7248170209833465,0.905625,3.466,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.05_gw0.0/version_0/checkpoints/precise-036-p0.7109.ckpt
grid_precise_m0.30_g3.0_s0.05_gw0.1,0.30,3.0,0.05,0.1,039,0.7014,0.7215558921985431,0.80203125,0.7175126566799097,0.850625,0.714236274416379,0.90375,3.883,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.05_gw0.1/version_0/checkpoints/precise-039-p0.7014.ckpt
grid_precise_m0.30_g3.0_s0.05_gw0.1,0.30,3.0,0.05,0.1,026,0.6554,0.7215558921985431,0.80203125,0.7175126566799097,0.850625,0.714236274416379,0.90375,3.296,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.05_gw0.1/version_0/checkpoints/precise-026-p0.6554.ckpt
grid_precise_m0.70_g3.0_s0.05_gw0.1,0.70,3.0,0.05,0.1,027,0.6247,0.7236083477583986,0.8021197552447552,0.7173027811769503,0.8501966783216783,0.716406462938231,0.9000218531468531,2.816,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g3.0_s0.05_gw0.1/version_0/checkpoints/precise-027-p0.6247.ckpt
grid_precise_m0.90_g3.0_s0.00_gw0.0,0.90,3.0,0.00,0.0,056,0.6702,0.7219762064194765,0.8097683566433567,0.7149084148483534,0.8509615384615384,0.7145482136621527,0.9048295454545454,4.141,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g3.0_s0.00_gw0.0/version_0/checkpoints/precise-056-p0.6702.ckpt
grid_precise_m0.30_g2.0_s0.00_gw0.1,0.30,2.0,0.00,0.1,027,0.6223,0.7101930442484213,0.80125,0.7131758819974147,0.85171875,0.7066121277261743,0.9040625,3.902,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.00_gw0.1/version_0/checkpoints/precise-027-p0.6223.ckpt
grid_precise_m0.30_g2.0_s0.00_gw0.1,0.30,2.0,0.00,0.1,025,0.6917,0.7101930442484213,0.80125,0.7131758819974147,0.85171875,0.7066121277261743,0.9040625,4.352,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.00_gw0.1/version_0/checkpoints/precise-025-p0.6917.ckpt
