FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
       [pl][module]hydro_net.EnhancedFrontEnd: frontend         0.00%       0.000us         0.00%       0.000us       0.000us     278.384ms       261.58%     278.384ms      13.919ms           0 B           0 B           0 B           0 B            20            --  
                                          ProfilerStep*         1.04%       5.262ms       100.00%     506.359ms      25.318ms       0.000us         0.00%     106.288ms       5.314ms           0 B           0 B           0 B    -156.26 MB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         4.21%      21.324ms        91.83%     465.001ms      23.250ms       0.000us         0.00%      89.991ms       4.500ms           0 B           8 B           0 B    -332.89 MB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         0.00%       0.000us         0.00%       0.000us       0.000us      74.668ms        70.16%      74.668ms       3.733ms           0 B           0 B           0 B           0 B            20            --  
       [pl][module]hydro_net.EnhancedFrontEnd: frontend         0.41%       2.061ms        56.17%     284.411ms      14.221ms       0.000us         0.00%      67.253ms       3.363ms           0 B           0 B     252.50 MB    -441.88 MB            20            --  
[pl][module]hydro_conformer.TrainablePCEN: frontend....         0.00%       0.000us         0.00%       0.000us       0.000us      65.223ms        61.29%      65.223ms       3.261ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]hydro_conformer.TrainablePCEN: frontend....         0.00%       0.000us         0.00%       0.000us       0.000us      64.111ms        60.24%      64.111ms       3.206ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]hydro_conformer.TrainablePCEN: frontend....         0.00%       0.000us         0.00%       0.000us       0.000us      60.681ms        57.02%      60.681ms       3.034ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]hydro_conformer.TrainablePCEN: frontend....         0.00%       0.000us         0.00%       0.000us       0.000us      59.355ms        55.77%      59.355ms       2.968ms           0 B           0 B           0 B           0 B            20            --  
                                              aten::mul         7.39%      37.425ms        13.86%      70.180ms       4.192us      30.709ms        28.86%      30.711ms       1.835us          56 B          56 B       5.81 GB       5.81 GB         16740      1403.706  
                                            aten::copy_         1.02%       5.187ms         7.34%      37.186ms      11.694us      22.195ms        20.86%      22.195ms       6.980us           0 B           0 B           0 B           0 B          3180            --  
                                               aten::to         0.28%       1.403ms         7.11%      36.010ms       9.628us       0.000us         0.00%      18.501ms       4.947us         640 B           0 B       1.22 GB           0 B          3740            --  
                                         aten::_to_copy         0.52%       2.613ms         6.83%      34.607ms      21.102us       0.000us         0.00%      18.501ms      11.281us         640 B          32 B       1.22 GB      -2.00 KB          1640            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.391ms        17.28%      18.391ms       2.276us           0 B           0 B           0 B           0 B          8080            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      16.312ms        15.33%      16.312ms     101.947us           0 B           0 B           0 B           0 B           160            --  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         0.16%     821.845us         4.67%      23.637ms       1.182ms       0.000us         0.00%      16.274ms     813.695us           0 B           0 B     156.25 MB           0 B            20            --  
[pl][profile][LightningModule]HydroNet.transfer_batc...         0.13%     644.606us         4.43%      22.454ms       1.123ms       0.000us         0.00%      16.274ms     813.695us           0 B           0 B     156.25 MB           0 B            20            --  
[pl][profile][LightningModule]HydroNet.transfer_batc...         0.00%       0.000us         0.00%       0.000us       0.000us      16.274ms        15.29%      16.274ms     813.695us           0 B           0 B           0 B           0 B            20            --  
     [pl][module]hydro_net.DEMONChannel: frontend.demon         0.26%       1.317ms        13.93%      70.514ms       3.526ms       0.000us         0.00%      15.474ms     773.693us           0 B           0 B      63.12 MB    -690.91 MB            20            --  
[pl][module]torchmetrics.classification.accuracy.Mul...         0.00%       0.000us         0.00%       0.000us       0.000us      13.496ms        12.68%      13.496ms     674.805us           0 B           0 B           0 B           0 B            20            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 506.365ms
Self CUDA time total: 106.423ms
