epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,0.0003,0.0003,0,,,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,,,4.094850540161133,,,,,,,,,,,
0,,,39,,,,,,,,,,3.3846187591552734,,,,,,,,,,,
0,,,59,,,,,,,,,,2.4083847999572754,,,,,,,,,,,
0,,,70,,,,,,,,,,,0.0,0.0,0.0,2.2303073406219482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,,70,,,,,,,,0.27236756682395935,3.6329612731933594,,,,,,,,,,,,
,0.0003,0.0003,71,,,,,,,,,,,,,,,,,,,,,
1,,,79,,,,,,,,,,2.2221317291259766,,,,,,,,,,,
1,,,99,,,,,,,,,,1.454297661781311,,,,,,,,,,,
1,,,119,,,,,,,,,,1.3113445043563843,,,,,,,,,,,
1,,,139,,,,,,,,,,1.8383601903915405,,,,,,,,,,,
1,,,141,,,,,,,,,,,0.061370883136987686,0.30537986755371094,0.09101654589176178,48.8429069519043,0.1760670691728592,0.04156700149178505,0.0,0.7042682766914368,0.0,0.0,0.061370883136987686
1,,,141,,,,,,,,0.44261276721954346,2.370168685913086,,,,,,,,,,,,
,0.00015,0.00015,142,,,,,,,,,,,,,,,,,,,,,
2,,,159,,,,,,,,,,0.9145656228065491,,,,,,,,,,,
2,,,179,,,,,,,,,,1.1822445392608643,,,,,,,,,,,
2,,,199,,,,,,,,,,1.5359811782836914,,,,,,,,,,,
2,,,212,,,,,,,,,,,0.4471789598464966,0.4266449511051178,0.48507261276245117,16.084854125976562,0.5391047596931458,0.4618556499481201,0.0,0.7607526779174805,0.856561541557312,0.0,0.4471789598464966
2,,,212,,,,,,,,0.5331494212150574,2.383427143096924,,,,,,,,,,,,
3,,,213,0.4427037835121155,0.6808530688285828,0.3650263249874115,10.316240310668945,0.32656344771385193,0.2647694945335388,0.4427037835121155,,,,,,,,,,,,,,
