epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/cons_epoch,train/cons_lam_epoch,train/cons_lam_step,train/cons_step,train/loss_epoch,train/loss_step,train/supcon_epoch,train/supcon_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,0.0003,0.0003,2.9999999999999997e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,19,,,,,,,,,,,,0.03792908787727356,0.13211971521377563,,4.9575419425964355,,3.434262752532959,,,,,,,,,,,,
0,,,,27,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8306126594543457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,,,27,,,,,,,,,0.252995103597641,0.11463473737239838,0.037929076701402664,,,6.454888343811035,,3.515671968460083,,,,,,,,,,,,,
,0.0001,0.0001,0.0001,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,39,,,,,,,,,,,,0.46207091212272644,0.11308532953262329,,5.296080589294434,,3.419612407684326,,,,,,,,,,,,
1,,,,55,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9523116946220398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,55,,,,,,,,,0.25,0.11172784119844437,0.4620707333087921,,,4.923270225524902,,3.4282314777374268,,,,,,,,,,,,,
,0.0001,0.0001,0.0001,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,56,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.793346107006073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,56,,,,,,,,,0.25,0.10139630734920502,0.4620707333087921,,,5.7394866943359375,,3.4347140789031982,,,,,,,,,,,,,
3,,,,57,0.25,0.6598252058029175,0.07966680824756622,5.602825164794922,0.047383129596710205,0.0,0.18953251838684082,0.25,,,,,,,,,,,,,,,,,,,,,
