epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,0.0003,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,,,,4.089268207550049,,,,,,,,,,,,
0,,,39,,,,,,,,,,,5.858888626098633,,,,,,,,,,,,
0,,,59,,,,,,,,,,,5.076781272888184,,,,,,,,,,,,
0,,,70,,,,,,,,,,,,0.0,0.0,0.0,1.03165602684021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,,70,,,,,,,,,0.24962833523750305,5.18084192276001,,,,,,,,,,,,,
,0.0003,0.0003,71,,,,,,,,,,,,,,,,,,,,,,,
1,,,79,,,,,,,,,,,5.096072196960449,,,,,,,,,,,,
1,,,99,,,,,,,,,,,5.563243865966797,,,,,,,,,,,,
1,,,119,,,,,,,,,,,4.071936130523682,,,,,,,,,,,,
1,,,139,,,,,,,,,,,4.296786785125732,,,,,,,,,,,,
1,,,141,,,,,,,,,,,,0.0,0.0,0.0,0.846221387386322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,141,,,,,,,,,0.2603932023048401,4.2137932777404785,,,,,,,,,,,,,
2,,,142,0.2659657299518585,0.717745840549469,0.11006021499633789,4.461167335510254,0.1655046045780182,0.06272449344396591,0.20515751838684082,0.2659657299518585,,,,,,,,,,,,,,,
