epoch,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
0,19,,,1.757230520248413,,,,,
0,39,,,2.0413780212402344,,,,,
0,59,,,1.6211656332015991,,,,,
0,79,,,1.8316292762756348,,,,,
0,99,,,1.9043207168579102,,,,,
0,119,,,1.4778218269348145,,,,,
0,139,,,1.7754186391830444,,,,,
0,159,,,1.4998769760131836,,,,,
0,179,,,1.6296536922454834,,,,,
0,199,,,1.249586820602417,,,,,
0,219,,,1.7150022983551025,,,,,
0,239,,,1.568352460861206,,,,,
0,259,,,1.3919453620910645,,,,,
0,269,,,,0.47795939445495605,0.33191338181495667,1.0833282470703125,0.22274118661880493,0.27553462982177734
0,269,0.4646100103855133,1.6034406423568726,,,,,,
1,279,,,1.0109636783599854,,,,,
1,299,,,0.8203531503677368,,,,,
1,319,,,1.0046803951263428,,,,,
1,339,,,0.7876167297363281,,,,,
1,359,,,0.7512692213058472,,,,,
1,379,,,0.675781786441803,,,,,
1,399,,,0.42340633273124695,,,,,
1,419,,,0.6088460087776184,,,,,
1,439,,,0.5907937288284302,,,,,
1,459,,,0.7872400879859924,,,,,
1,479,,,0.7285301685333252,,,,,
1,499,,,0.7032756805419922,,,,,
1,519,,,0.5016857981681824,,,,,
1,539,,,0.7679214477539062,,,,,
1,539,,,,0.5212463140487671,0.3577483296394348,1.4100414514541626,0.25948992371559143,0.2731286585330963
1,539,0.5566619038581848,0.7729246020317078,,,,,,
2,559,,,0.5646108984947205,,,,,
2,579,,,0.5163351893424988,,,,,
2,599,,,0.42728090286254883,,,,,
2,619,,,0.5239675641059875,,,,,
2,639,,,0.4191092252731323,,,,,
2,659,,,0.45439958572387695,,,,,
2,679,,,0.6004270315170288,,,,,
2,699,,,0.40374958515167236,,,,,
2,719,,,0.49902188777923584,,,,,
2,739,,,0.4620371162891388,,,,,
2,759,,,0.441967636346817,,,,,
2,779,,,0.7245171070098877,,,,,
