FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][module]models.hydro_net.EnhancedFrontEnd: front...         0.00%       0.000us         0.00%       0.000us       0.000us     268.565ms       280.17%     268.565ms      13.428ms           0 B           0 B           0 B           0 B            20            --  
                                          ProfilerStep*         1.00%       4.684ms       100.00%     466.299ms      23.315ms       0.000us         0.00%      95.965ms       4.798ms           0 B           0 B           0 B     -25.01 MB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         4.26%      19.845ms        95.65%     446.028ms      22.301ms       0.000us         0.00%      94.909ms       4.745ms           0 B           0 B           0 B    -414.31 MB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         0.00%       0.000us         0.00%       0.000us       0.000us      70.500ms        73.55%      70.500ms       3.525ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         0.00%       0.000us         0.00%       0.000us       0.000us      66.267ms        69.13%      66.267ms       3.313ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]models.hydro_net.EnhancedFrontEnd: front...         0.39%       1.806ms        58.74%     273.917ms      13.696ms       0.000us         0.00%      65.731ms       3.287ms           0 B           0 B     253.74 MB    -441.88 MB            20            --  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         0.00%       0.000us         0.00%       0.000us       0.000us      60.086ms        62.68%      60.086ms       3.004ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         0.00%       0.000us         0.00%       0.000us       0.000us      59.926ms        62.52%      59.926ms       2.996ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         0.00%       0.000us         0.00%       0.000us       0.000us      56.700ms        59.15%      56.700ms       2.835ms           0 B           0 B           0 B           0 B            20            --  
                                              aten::mul         7.93%      36.958ms        14.84%      69.209ms       4.129us      29.396ms        30.67%      29.396ms       1.754us          40 B          40 B       4.59 GB       4.59 GB         16760      1086.891  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.991ms        18.77%      17.991ms       2.221us           0 B           0 B           0 B           0 B          8100            --  
[pl][module]models.hydro_net.DEMONChannel: frontend....         0.23%       1.094ms        14.60%      68.087ms       3.404ms       0.000us         0.00%      14.518ms     725.925us           0 B          -8 B      63.12 MB    -190.34 MB            20            --  
[pl][module]models.hydro_net.SubBandEnvelope: sub_ba...         0.00%       0.000us         0.00%       0.000us       0.000us      13.347ms        13.92%      13.347ms     667.362us           0 B           0 B           0 B           0 B            20            --  
                                           aten::conv2d         0.05%     228.159us         0.88%       4.117ms      51.458us       0.000us         0.00%      13.289ms     166.110us           0 B           0 B       3.95 GB    -127.86 MB            80   1296291.594  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         2.61%      12.169ms        14.31%      66.710ms       3.336ms       0.000us         0.00%      12.878ms     643.914us           0 B      -5.55 KB      63.12 MB    -567.95 MB            20            --  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         2.59%      12.098ms        13.59%      63.351ms       3.168ms       0.000us         0.00%      12.773ms     638.662us           0 B      -5.84 KB      63.12 MB    -567.85 MB            20            --  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         2.29%      10.699ms        12.91%      60.214ms       3.011ms       0.000us         0.00%      12.760ms     637.981us           0 B      -6.64 KB      63.12 MB    -567.53 MB            20            --  
[pl][module]models.hydro_conformer.TrainablePCEN: fr...         2.35%      10.955ms        12.96%      60.448ms       3.022ms       0.000us         0.00%      12.753ms     637.627us           0 B      -5.84 KB      63.12 MB    -567.28 MB            20            --  
[pl][module]torchmetrics.classification.accuracy.Mul...         0.00%       0.000us         0.00%       0.000us       0.000us      12.177ms        12.70%      12.177ms     608.863us           0 B           0 B           0 B           0 B            20            --  
       [pl][module]models.hydro_net.CNNInput: cnn_input         0.08%     390.117us         1.59%       7.393ms     369.656us       0.000us         0.00%      11.994ms     599.724us           0 B           0 B      31.56 MB   -1010.00 MB            20            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 466.305ms
Self CUDA time total: 95.857ms
