FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         0.00%       0.000us         0.00%       0.000us       0.000us     134.967ms       454.81%     134.967ms       6.748ms           0 B           0 B           0 B           0 B            20            --  
                                          ProfilerStep*         2.19%       5.061ms       100.00%     230.681ms      11.534ms       0.000us         0.00%      29.670ms       1.483ms           0 B           0 B           0 B     -19.54 MB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...        12.33%      28.442ms        91.88%     211.955ms      10.598ms       0.000us         0.00%      29.265ms       1.463ms           0 B           0 B           0 B    -114.06 MB            20            --  
                                           aten::conv2d         0.95%       2.198ms        14.27%      32.920ms      39.191us       0.000us         0.00%      24.930ms      29.678us           0 B           0 B       2.28 GB    -328.31 MB           840   1514571.694  
[pl][module]torch.nn.modules.container.Sequential: b...         0.49%       1.141ms        26.03%      60.046ms       3.002ms       0.000us         0.00%      16.009ms     800.464us           0 B           0 B      10.00 MB    -855.00 MB            20            --  
[pl][module]torchmetrics.classification.accuracy.Mul...         0.00%       0.000us         0.00%       0.000us       0.000us      13.753ms        46.35%      13.753ms     687.670us           0 B           0 B           0 B           0 B            20            --  
[pl][module]torchmetrics.classification.f_beta.Multi...         0.00%       0.000us         0.00%       0.000us       0.000us      12.892ms        43.44%      12.892ms     644.619us           0 B           0 B           0 B           0 B            20            --  
[pl][module]torchmetrics.classification.precision_re...         0.00%       0.000us         0.00%       0.000us       0.000us      12.324ms        41.53%      12.324ms     616.216us           0 B           0 B           0 B           0 B            20            --  
[pl][module]torchmetrics.classification.precision_re...         0.00%       0.000us         0.00%       0.000us       0.000us      12.281ms        41.38%      12.281ms     614.044us           0 B           0 B           0 B           0 B            20            --  
                                      aten::convolution         0.42%     979.894us         5.47%      12.624ms      30.058us       0.000us         0.00%      11.956ms      28.467us           0 B           0 B       1.07 GB           0 B           420            --  
                                     aten::_convolution         0.59%       1.356ms         5.05%      11.644ms      27.725us       0.000us         0.00%      11.956ms      28.467us           0 B           0 B       1.07 GB           0 B           420            --  
                                aten::cudnn_convolution         2.61%       6.019ms         4.37%      10.087ms      24.018us      11.886ms        40.05%      11.886ms      28.300us           0 B           0 B       1.07 GB       1.07 GB           420            --  
[pl][module]torchmetrics.classification.matthews_cor...         0.00%       0.000us         0.00%       0.000us       0.000us      10.759ms        36.26%      10.759ms     537.961us           0 B           0 B           0 B           0 B            20            --  
[pl][module]models.hydro_i2hofi.APPNPLayer: intra_ap...         0.00%       0.000us         0.00%       0.000us       0.000us       6.146ms        20.71%       6.146ms     307.321us           0 B           0 B           0 B           0 B            20            --  
sm80_xmma_fprop_implicit_gemm_bf16bf16_bf16f32_f32_n...         0.00%       0.000us         0.00%       0.000us       0.000us       4.837ms        16.30%       4.837ms      21.988us           0 B           0 B           0 B           0 B           220            --  
                                            aten::copy_         2.80%       6.463ms         8.53%      19.671ms       6.428us       4.229ms        14.25%       4.229ms       1.382us           0 B           0 B           0 B           0 B          3060            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.13%     289.399us         5.73%      13.219ms     660.961us       0.000us         0.00%       4.048ms     202.391us           0 B           0 B      10.00 MB     -10.00 MB            20            --  
    [pl][module]models.hydro_i2hofi.GATLayer: inter_gat         0.00%       0.000us         0.00%       0.000us       0.000us       3.948ms        13.30%       3.948ms     197.375us           0 B           0 B           0 B           0 B            20            --  
[pl][module]models.hydro_conformer.FocalLoss: criter...         0.00%       0.000us         0.00%       0.000us       0.000us       3.780ms        12.74%       3.780ms     188.993us           0 B           0 B           0 B           0 B            20            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.14%     317.480us         5.86%      13.514ms     675.722us       0.000us         0.00%       3.453ms     172.660us           0 B           0 B      20.00 MB     -20.00 MB            20            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 230.687ms
Self CUDA time total: 29.676ms
